"graph_type" "ms_sc" "n" "seed" "est_method" "FP" "FN" "TP" "TN" "F1"
"ABA" 1 8000 1 "Nlasso_JOE(AND)" 10 157 134 51228 0.616091954022989
"ABA" 1 8000 1 "Nlasso_JOE(OR)" 32 95 196 51206 0.755298651252408
"ABA" 1 8000 1 "Nlasso(AND)" 130 137 154 51108 0.535652173913043
"ABA" 1 8000 1 "Nlasso(OR)" 140 117 174 51098 0.575206611570248
"ABA" 1 8000 1 "Glasso" 276 83 208 50962 0.536774193548387
"ABA" 1 8000 2 "Nlasso_JOE(AND)" 6 161 130 51232 0.608899297423888
"ABA" 1 8000 2 "Nlasso_JOE(OR)" 26 91 200 51212 0.773694390715667
"ABA" 1 8000 2 "Nlasso(AND)" 98 139 152 51140 0.561922365988909
"ABA" 1 8000 2 "Nlasso(OR)" 110 115 176 51128 0.610051993067591
"ABA" 1 8000 2 "Glasso" 306 77 214 50932 0.527743526510481
"ABA" 1 8000 3 "Nlasso_JOE(AND)" 2 145 146 51236 0.665148063781321
"ABA" 1 8000 3 "Nlasso_JOE(OR)" 20 89 202 51218 0.787524366471735
"ABA" 1 8000 3 "Nlasso(AND)" 102 115 176 51136 0.618629173989455
"ABA" 1 8000 3 "Nlasso(OR)" 120 101 190 51118 0.632279534109817
"ABA" 1 8000 3 "Glasso" 274 71 220 50964 0.560509554140127
"ABA" 1 8000 4 "Nlasso_JOE(AND)" 4 151 140 51234 0.64367816091954
"ABA" 1 8000 4 "Nlasso_JOE(OR)" 37 74 217 51201 0.796330275229358
"ABA" 1 8000 4 "Nlasso(AND)" 106 117 174 51132 0.609457092819615
"ABA" 1 8000 4 "Nlasso(OR)" 116 91 200 51122 0.658978583196046
"ABA" 1 8000 4 "Glasso" 262 61 230 50976 0.587484035759898
"ABA" 1 8000 5 "Nlasso_JOE(AND)" 6 133 158 51232 0.694505494505494
"ABA" 1 8000 5 "Nlasso_JOE(OR)" 32 89 202 51206 0.76952380952381
"ABA" 1 8000 5 "Nlasso(AND)" 100 121 170 51138 0.606060606060606
"ABA" 1 8000 5 "Nlasso(OR)" 116 103 188 51122 0.631932773109244
"ABA" 1 8000 5 "Glasso" 298 73 218 50940 0.540272614622057
"ABA" 1 8000 6 "Nlasso_JOE(AND)" 10 153 138 51228 0.62870159453303
"ABA" 1 8000 6 "Nlasso_JOE(OR)" 41 92 199 51197 0.749529190207156
"ABA" 1 8000 6 "Nlasso(AND)" 106 127 164 51132 0.584670231729055
"ABA" 1 8000 6 "Nlasso(OR)" 128 103 188 51110 0.619439868204283
"ABA" 1 8000 6 "Glasso" 303 78 213 50935 0.527881040892193
"ABA" 1 8000 7 "Nlasso_JOE(AND)" 8 145 146 51230 0.656179775280899
"ABA" 1 8000 7 "Nlasso_JOE(OR)" 24 89 202 51214 0.781431334622824
"ABA" 1 8000 7 "Nlasso(AND)" 86 123 168 51152 0.61651376146789
"ABA" 1 8000 7 "Nlasso(OR)" 106 97 194 51132 0.656514382402707
"ABA" 1 8000 7 "Glasso" 264 77 214 50974 0.556566970091027
"ABA" 1 8000 8 "Nlasso_JOE(AND)" 4 153 138 51234 0.637413394919169
"ABA" 1 8000 8 "Nlasso_JOE(OR)" 32 77 214 51206 0.797020484171322
"ABA" 1 8000 8 "Nlasso(AND)" 92 137 154 51146 0.573556797020484
"ABA" 1 8000 8 "Nlasso(OR)" 110 119 172 51128 0.600349040139616
"ABA" 1 8000 8 "Glasso" 304 75 216 50934 0.532675709001233
"ABA" 1 8000 9 "Nlasso_JOE(AND)" 6 153 138 51232 0.63448275862069
"ABA" 1 8000 9 "Nlasso_JOE(OR)" 32 85 206 51206 0.77882797731569
"ABA" 1 8000 9 "Nlasso(AND)" 106 131 160 51132 0.574506283662478
"ABA" 1 8000 9 "Nlasso(OR)" 128 107 184 51110 0.61028192371476
"ABA" 1 8000 9 "Glasso" 312 75 216 50926 0.527472527472527
"ABA" 1 8000 10 "Nlasso_JOE(AND)" 2 147 144 51236 0.659038901601831
"ABA" 1 8000 10 "Nlasso_JOE(OR)" 30 97 194 51208 0.753398058252427
"ABA" 1 8000 10 "Nlasso(AND)" 96 135 156 51142 0.574585635359116
"ABA" 1 8000 10 "Nlasso(OR)" 112 119 172 51126 0.598260869565217
"ABA" 1 8000 10 "Glasso" 286 91 200 50952 0.514800514800515
"ABA" 1 8000 11 "Nlasso_JOE(AND)" 8 153 138 51230 0.631578947368421
"ABA" 1 8000 11 "Nlasso_JOE(OR)" 44 81 210 51194 0.770642201834862
"ABA" 1 8000 11 "Nlasso(AND)" 100 137 154 51138 0.565137614678899
"ABA" 1 8000 11 "Nlasso(OR)" 130 109 182 51108 0.603648424543947
"ABA" 1 8000 11 "Glasso" 268 71 220 50970 0.564826700898588
"ABA" 1 8000 12 "Nlasso_JOE(AND)" 10 137 154 51228 0.676923076923077
"ABA" 1 8000 12 "Nlasso_JOE(OR)" 38 89 202 51200 0.760828625235405
"ABA" 1 8000 12 "Nlasso(AND)" 90 133 158 51148 0.586270871985158
"ABA" 1 8000 12 "Nlasso(OR)" 108 111 180 51130 0.621761658031088
"ABA" 1 8000 12 "Glasso" 294 73 218 50944 0.542963885429639
"ABA" 1 8000 13 "Nlasso_JOE(AND)" 4 137 154 51234 0.685968819599109
"ABA" 1 8000 13 "Nlasso_JOE(OR)" 22 87 204 51216 0.789168278529981
"ABA" 1 8000 13 "Nlasso(AND)" 108 125 166 51130 0.587610619469027
"ABA" 1 8000 13 "Nlasso(OR)" 128 103 188 51110 0.619439868204283
"ABA" 1 8000 13 "Glasso" 326 69 222 50912 0.529201430274136
"ABA" 1 8000 14 "Nlasso_JOE(AND)" 6 157 134 51232 0.621809744779582
"ABA" 1 8000 14 "Nlasso_JOE(OR)" 47 102 189 51191 0.717267552182163
"ABA" 1 8000 14 "Nlasso(AND)" 128 147 144 51110 0.511545293072824
"ABA" 1 8000 14 "Nlasso(OR)" 144 129 162 51094 0.542713567839196
"ABA" 1 8000 14 "Glasso" 328 91 200 50910 0.488400488400488
"ABA" 1 8000 15 "Nlasso_JOE(AND)" 4 165 126 51234 0.598574821852732
"ABA" 1 8000 15 "Nlasso_JOE(OR)" 41 88 203 51197 0.758878504672897
"ABA" 1 8000 15 "Nlasso(AND)" 92 135 156 51146 0.578849721706865
"ABA" 1 8000 15 "Nlasso(OR)" 110 113 178 51128 0.614853195164076
"ABA" 1 8000 15 "Glasso" 273 82 209 50965 0.540750323415265
"ABA" 1 8000 16 "Nlasso_JOE(AND)" 10 149 142 51228 0.641083521444695
"ABA" 1 8000 16 "Nlasso_JOE(OR)" 26 79 212 51212 0.801512287334594
"ABA" 1 8000 16 "Nlasso(AND)" 110 133 158 51128 0.565295169946333
"ABA" 1 8000 16 "Nlasso(OR)" 126 111 180 51112 0.603015075376884
"ABA" 1 8000 16 "Glasso" 284 77 214 50954 0.542458808618504
"ABA" 1 8000 17 "Nlasso_JOE(AND)" 4 153 138 51234 0.637413394919169
"ABA" 1 8000 17 "Nlasso_JOE(OR)" 46 93 198 51192 0.74018691588785
"ABA" 1 8000 17 "Nlasso(AND)" 92 133 158 51146 0.584103512014787
"ABA" 1 8000 17 "Nlasso(OR)" 106 117 174 51132 0.609457092819615
"ABA" 1 8000 17 "Glasso" 272 83 208 50966 0.539559014267185
"ABA" 1 8000 18 "Nlasso_JOE(AND)" 6 159 132 51232 0.615384615384615
"ABA" 1 8000 18 "Nlasso_JOE(OR)" 27 102 189 51211 0.745562130177515
"ABA" 1 8000 18 "Nlasso(AND)" 107 140 151 51131 0.550091074681239
"ABA" 1 8000 18 "Nlasso(OR)" 129 114 177 51109 0.592964824120603
"ABA" 1 8000 18 "Glasso" 291 74 217 50947 0.543178973717146
"ABA" 1 8000 19 "Nlasso_JOE(AND)" 6 145 146 51232 0.659142212189616
"ABA" 1 8000 19 "Nlasso_JOE(OR)" 35 82 209 51203 0.781308411214953
"ABA" 1 8000 19 "Nlasso(AND)" 112 129 162 51126 0.573451327433628
"ABA" 1 8000 19 "Nlasso(OR)" 128 107 184 51110 0.61028192371476
"ABA" 1 8000 19 "Glasso" 275 80 211 50963 0.543114543114543
"ABA" 1 8000 20 "Nlasso_JOE(AND)" 6 159 132 51232 0.615384615384615
"ABA" 1 8000 20 "Nlasso_JOE(OR)" 34 103 188 51204 0.732943469785575
"ABA" 1 8000 20 "Nlasso(AND)" 88 123 168 51150 0.614259597806216
"ABA" 1 8000 20 "Nlasso(OR)" 110 111 180 51128 0.619621342512909
"ABA" 1 8000 20 "Glasso" 274 77 214 50964 0.549422336328626
"ABA" 1 12000 1 "Nlasso_JOE(AND)" 6 111 180 51232 0.754716981132076
"ABA" 1 12000 1 "Nlasso_JOE(OR)" 36 57 234 51202 0.834224598930481
"ABA" 1 12000 1 "Nlasso(AND)" 100 95 196 51138 0.667802385008518
"ABA" 1 12000 1 "Nlasso(OR)" 106 67 224 51132 0.721417069243156
"ABA" 1 12000 1 "Glasso" 256 47 244 50982 0.616940581542351
"ABA" 1 12000 2 "Nlasso_JOE(AND)" 8 115 176 51230 0.741052631578947
"ABA" 1 12000 2 "Nlasso_JOE(OR)" 33 48 243 51205 0.857142857142857
"ABA" 1 12000 2 "Nlasso(AND)" 114 97 194 51124 0.647746243739566
"ABA" 1 12000 2 "Nlasso(OR)" 136 65 226 51102 0.69218989280245
"ABA" 1 12000 2 "Glasso" 290 45 246 50948 0.594921402660218
"ABA" 1 12000 3 "Nlasso_JOE(AND)" 10 99 192 51228 0.778904665314402
"ABA" 1 12000 3 "Nlasso_JOE(OR)" 19 50 241 51219 0.874773139745917
"ABA" 1 12000 3 "Nlasso(AND)" 110 71 220 51128 0.7085346215781
"ABA" 1 12000 3 "Nlasso(OR)" 122 61 230 51116 0.715396578538103
"ABA" 1 12000 3 "Glasso" 303 36 255 50935 0.600706713780919
"ABA" 1 12000 4 "Nlasso_JOE(AND)" 6 111 180 51232 0.754716981132076
"ABA" 1 12000 4 "Nlasso_JOE(OR)" 38 57 234 51200 0.831261101243339
"ABA" 1 12000 4 "Nlasso(AND)" 86 97 194 51152 0.679509632224168
"ABA" 1 12000 4 "Nlasso(OR)" 112 77 214 51126 0.693679092382496
"ABA" 1 12000 4 "Glasso" 238 39 252 51000 0.645326504481434
"ABA" 1 12000 5 "Nlasso_JOE(AND)" 6 107 184 51232 0.765072765072765
"ABA" 1 12000 5 "Nlasso_JOE(OR)" 30 49 242 51208 0.85968028419183
"ABA" 1 12000 5 "Nlasso(AND)" 104 89 202 51134 0.676716917922948
"ABA" 1 12000 5 "Nlasso(OR)" 132 69 222 51106 0.688372093023256
"ABA" 1 12000 5 "Glasso" 296 41 250 50942 0.597371565113501
"ABA" 1 12000 6 "Nlasso_JOE(AND)" 6 105 186 51232 0.770186335403727
"ABA" 1 12000 6 "Nlasso_JOE(OR)" 45 64 227 51193 0.80639431616341
"ABA" 1 12000 6 "Nlasso(AND)" 121 88 203 51117 0.660162601626016
"ABA" 1 12000 6 "Nlasso(OR)" 135 72 219 51103 0.67906976744186
"ABA" 1 12000 6 "Glasso" 291 46 245 50947 0.592503022974607
"ABA" 1 12000 7 "Nlasso_JOE(AND)" 0 225 66 51238 0.369747899159664
"ABA" 1 12000 7 "Nlasso_JOE(OR)" 0 185 106 51238 0.534005037783375
"ABA" 1 12000 7 "Nlasso(AND)" 100 83 208 51138 0.69449081803005
"ABA" 1 12000 7 "Nlasso(OR)" 118 61 230 51120 0.719874804381847
"ABA" 1 12000 7 "Glasso" 282 41 250 50956 0.607533414337789
"ABA" 1 12000 8 "Nlasso_JOE(AND)" 0 215 76 51238 0.4141689373297
"ABA" 1 12000 8 "Nlasso_JOE(OR)" 0 175 116 51238 0.57002457002457
"ABA" 1 12000 8 "Nlasso(AND)" 86 91 200 51152 0.693240901213172
"ABA" 1 12000 8 "Nlasso(OR)" 118 65 226 51120 0.711811023622047
"ABA" 1 12000 8 "Glasso" 298 37 254 50940 0.602609727164887
"ABA" 1 12000 9 "Nlasso_JOE(AND)" 0 219 72 51238 0.396694214876033
"ABA" 1 12000 9 "Nlasso_JOE(OR)" 0 181 110 51238 0.548628428927681
"ABA" 1 12000 9 "Nlasso(AND)" 110 79 212 51128 0.691680261011419
"ABA" 1 12000 9 "Nlasso(OR)" 120 63 228 51118 0.713615023474178
"ABA" 1 12000 9 "Glasso" 288 43 248 50950 0.599758162031439
"ABA" 1 12000 10 "Nlasso_JOE(AND)" 6 97 194 51232 0.790224032586558
"ABA" 1 12000 10 "Nlasso_JOE(OR)" 37 40 251 51201 0.867012089810017
"ABA" 1 12000 10 "Nlasso(AND)" 107 80 211 51131 0.692939244663383
"ABA" 1 12000 10 "Nlasso(OR)" 119 58 233 51119 0.724727838258165
"ABA" 1 12000 10 "Glasso" 323 44 247 50915 0.573751451800232
"ABA" 1 12000 11 "Nlasso_JOE(AND)" 6 93 198 51232 0.8
"ABA" 1 12000 11 "Nlasso_JOE(OR)" 45 44 247 51193 0.847341337907376
"ABA" 1 12000 11 "Nlasso(AND)" 92 73 218 51146 0.725457570715474
"ABA" 1 12000 11 "Nlasso(OR)" 109 52 239 51129 0.748043818466354
"ABA" 1 12000 11 "Glasso" 299 40 251 50939 0.596908442330559
"ABA" 1 12000 12 "Nlasso_JOE(AND)" 4 95 196 51234 0.79837067209776
"ABA" 1 12000 12 "Nlasso_JOE(OR)" 51 40 251 51187 0.846543001686341
"ABA" 1 12000 12 "Nlasso(AND)" 130 85 206 51108 0.657097288676236
"ABA" 1 12000 12 "Nlasso(OR)" 154 55 236 51084 0.693098384728341
"ABA" 1 12000 12 "Glasso" 349 34 257 50889 0.573021181716834
"ABA" 1 12000 13 "Nlasso_JOE(AND)" 8 103 188 51230 0.772073921971253
"ABA" 1 12000 13 "Nlasso_JOE(OR)" 46 47 244 51192 0.839931153184165
"ABA" 1 12000 13 "Nlasso(AND)" 102 69 222 51136 0.721951219512195
"ABA" 1 12000 13 "Nlasso(OR)" 116 49 242 51122 0.745762711864407
"ABA" 1 12000 13 "Glasso" 316 35 256 50922 0.593279258400927
"ABA" 1 12000 14 "Nlasso_JOE(AND)" 0 217 74 51238 0.405479452054795
"ABA" 1 12000 14 "Nlasso_JOE(OR)" 0 175 116 51238 0.57002457002457
"ABA" 1 12000 14 "Nlasso(AND)" 100 89 202 51138 0.681281618887015
"ABA" 1 12000 14 "Nlasso(OR)" 119 72 219 51119 0.696343402225755
"ABA" 1 12000 14 "Glasso" 303 40 251 50935 0.594082840236686
"ABA" 1 12000 15 "Nlasso_JOE(AND)" 2 89 202 51236 0.816161616161616
"ABA" 1 12000 15 "Nlasso_JOE(OR)" 39 40 251 51199 0.864027538726334
"ABA" 1 12000 15 "Nlasso(AND)" 102 81 210 51136 0.696517412935323
"ABA" 1 12000 15 "Nlasso(OR)" 116 63 228 51122 0.718110236220472
"ABA" 1 12000 15 "Glasso" 309 34 257 50929 0.599766627771295
"ABA" 1 12000 16 "Nlasso_JOE(AND)" 6 103 188 51232 0.775257731958763
"ABA" 1 12000 16 "Nlasso_JOE(OR)" 46 47 244 51192 0.839931153184165
"ABA" 1 12000 16 "Nlasso(AND)" 130 81 210 51108 0.665610142630745
"ABA" 1 12000 16 "Nlasso(OR)" 158 65 226 51080 0.66962962962963
"ABA" 1 12000 16 "Glasso" 306 37 254 50932 0.596944770857814
"ABA" 1 12000 17 "Nlasso_JOE(AND)" 12 107 184 51226 0.75564681724846
