"graph_type" "ms_sc" "n" "seed" "est_method" "FP" "FN" "TP" "TN" "F1"
"small-world" 1 1018 1 "Nlasso_JOE(AND)" 0 60 340 39600 0.918918918918919
"small-world" 1 1018 1 "Nlasso_JOE(OR)" 14 36 364 39586 0.93573264781491
"small-world" 1 1018 1 "Nlasso(AND)" 176 0 400 39424 0.819672131147541
"small-world" 1 1018 1 "Nlasso(OR)" 360 0 400 39240 0.689655172413793
"small-world" 1 1018 1 "Glasso" 68 14 386 39532 0.903981264637002
"small-world" 1 1018 1 "DBGlasso_Holm" 0 400 0 39600 0
"small-world" 1 1018 1 "DBGlasso_FDR" 0 400 0 39600 0
"small-world" 1 1018 2 "Nlasso_JOE(AND)" 28 26 374 39572 0.932668329177057
"small-world" 1 1018 2 "Nlasso_JOE(OR)" 248 20 380 39352 0.739299610894942
"small-world" 1 1018 2 "Nlasso(AND)" 1874 0 400 37726 0.299177262528048
"small-world" 1 1018 2 "Nlasso(OR)" 1832 0 400 37768 0.303951367781155
"small-world" 1 1018 2 "Glasso" 667 0 400 38933 0.5453306066803
"small-world" 1 1018 2 "DBGlasso_Holm" 0 400 0 39600 0
"small-world" 1 1018 2 "DBGlasso_FDR" 0 400 0 39600 0
"small-world" 1 1018 3 "Nlasso_JOE(AND)" 42 22 378 39558 0.921951219512195
"small-world" 1 1018 3 "Nlasso_JOE(OR)" 202 20 380 39398 0.773930753564155
"small-world" 1 1018 3 "Nlasso(AND)" 152 0 400 39448 0.840336134453782
"small-world" 1 1018 3 "Nlasso(OR)" 308 0 400 39292 0.72202166064982
"small-world" 1 1018 3 "Glasso" 666 0 400 38934 0.545702592087312
"small-world" 1 1018 3 "DBGlasso_Holm" 0 400 0 39600 0
"small-world" 1 1018 3 "DBGlasso_FDR" 0 400 0 39600 0
"small-world" 1 1018 4 "Nlasso_JOE(AND)" 0 64 336 39600 0.91304347826087
"small-world" 1 1018 4 "Nlasso_JOE(OR)" 18 40 360 39582 0.925449871465296
"small-world" 1 1018 4 "Nlasso(AND)" 154 0 400 39446 0.838574423480084
"small-world" 1 1018 4 "Nlasso(OR)" 300 0 400 39300 0.727272727272727
"small-world" 1 1018 4 "Glasso" 62 14 386 39538 0.910377358490566
"small-world" 1 1018 4 "DBGlasso_Holm" 0 400 0 39600 0
"small-world" 1 1018 4 "DBGlasso_FDR" 0 400 0 39600 0
"small-world" 1 1018 5 "Nlasso_JOE(AND)" 34 22 378 39566 0.931034482758621
"small-world" 1 1018 5 "Nlasso_JOE(OR)" 204 20 380 39396 0.772357723577236
"small-world" 1 1018 5 "Nlasso(AND)" 138 4 396 39462 0.84796573875803
"small-world" 1 1018 5 "Nlasso(OR)" 308 0 400 39292 0.72202166064982
"small-world" 1 1018 5 "Glasso" 590 0 400 39010 0.575539568345324
"small-world" 1 1018 5 "DBGlasso_Holm" 0 400 0 39600 0
"small-world" 1 1018 5 "DBGlasso_FDR" 0 400 0 39600 0
"small-world" 1 1018 6 "Nlasso_JOE(AND)" 34 22 378 39566 0.931034482758621
"small-world" 1 1018 6 "Nlasso_JOE(OR)" 212 20 380 39388 0.766129032258065
"small-world" 1 1018 6 "Nlasso(AND)" 144 2 398 39456 0.845010615711253
"small-world" 1 1018 6 "Nlasso(OR)" 316 2 398 39284 0.714542190305206
"small-world" 1 1018 6 "Glasso" 634 2 398 38966 0.55586592178771
"small-world" 1 1018 6 "DBGlasso_Holm" 0 400 0 39600 0
"small-world" 1 1018 6 "DBGlasso_FDR" 0 400 0 39600 0
"small-world" 1 1018 7 "Nlasso_JOE(AND)" 0 60 340 39600 0.918918918918919
"small-world" 1 1018 7 "Nlasso_JOE(OR)" 14 46 354 39586 0.921875
"small-world" 1 1018 7 "Nlasso(AND)" 108 2 398 39492 0.878587196467991
"small-world" 1 1018 7 "Nlasso(OR)" 266 0 400 39334 0.75046904315197
"small-world" 1 1018 7 "Glasso" 58 20 380 39542 0.906921241050119
"small-world" 1 1018 7 "DBGlasso_Holm" 0 400 0 39600 0
"small-world" 1 1018 7 "DBGlasso_FDR" 0 400 0 39600 0
"small-world" 1 1018 8 "Nlasso_JOE(AND)" 38 24 376 39562 0.923832923832924
"small-world" 1 1018 8 "Nlasso_JOE(OR)" 170 22 378 39430 0.79746835443038
