"graph" "p" "n1" "alpha" "tuning_c1" "tuning_c2"
"ER" 50 250 1.5 0.366596142166487 0.241646511928588
"ER" 50 1000 1.5 0.4 0.189634509536612
"ER" 50 500 1.5 0.451535156673875 0.189634509536612
"ER" 50 500 1 0.451535156673875 0.206913808111479
"ER" 50 125 1.5 0.467144293818024 0.241646511928588
"ER" 50 500 1.2 0.451535156673875 0.21406661993597
"ER" 50 250 1 0.467144293818024 0.25
"ER" 50 250 1.2 0.413827616222958 0.272779739058426
"ER" 50 125 1.2 0.366596142166487 0.272779739058426
"ER" 50 125 1 0.324755347837744 0.272779739058426
"ER" 50 1000 1 0.4 0.125
"ER" 50 1000 1.2 0.4 0.189634509536612
"ER" 100 1000 1.5 0.4 0.8
"ER" 100 125 1.5 0.263665089873036 0.254854997140627
"ER" 100 250 1.5 0.254854997140627 0.4
"ER" 100 250 1 0.254854997140627 0.4
"ER" 100 1000 1 0.4 0.8
"ER" 100 500 1.2 0.287689977657533 0.4
"ER" 100 500 1.5 0.287689977657533 0.4
"ER" 100 1000 1.2 0.4 0.8
"ER" 100 250 1.2 0.287689977657533 0.4
"ER" 100 125 1.2 0.263665089873036 0.287689977657533
"ER" 100 500 1 0.4 0.4
"ER" 100 125 1 0.263665089873036 0.287689977657533
"ER" 200 250 1 0.2 0.136389869529213
"ER" 200 500 1.5 0.2 0.112883789168469
"ER" 200 125 1 0.233572146909012 0.153962052766507
"ER" 200 1000 1.5 0.4 0.1
"ER" 200 1000 1.2 0.4 0.2
"ER" 200 125 1.2 0.206913808111479 0.153962052766507
"ER" 200 500 1.2 0.2 0.2
"ER" 200 500 1 0.225767578336938 0.112883789168469
"ER" 200 125 1.5 0.225767578336938 0.148817572081566
"ER" 200 250 1.5 0.225767578336938 0.143844988828766
"ER" 200 1000 1 0.4 0.2
"ER" 200 250 1.2 0.225767578336938 0.143844988828766
"chain" 50 125 1.5 0.733192284332974 0.575379955315065
"chain" 50 125 1.2 0.827655232445916 0.575379955315065
"chain" 50 1000 1 1.6 1.6
"chain" 50 250 1 0.903070313347751 0.8
"chain" 50 500 1 0.8 0.8
"chain" 50 500 1.2 0.8 0.8
"chain" 50 125 1 0.649510695675489 0.575379955315065
"chain" 50 250 1.5 0.903070313347751 0.8
"chain" 50 1000 1.5 1.6 1.6
"chain" 50 1000 1.2 1.6 1.6
"chain" 50 250 1.2 0.934288587636049 0.8
"chain" 50 500 1.5 0.8 0.8
"chain" 100 125 1.2 0.575379955315065 0.509709994281253
"chain" 100 125 1 0.575379955315065 0.451535156673875
"chain" 100 125 1.5 0.575379955315065 0.451535156673875
"chain" 100 250 1.5 0.8 0.451535156673875
"chain" 100 1000 1.5 0.8 0.8
"chain" 100 1000 1 1.6 1.6
"chain" 100 500 1.2 0.8 0.8
"chain" 100 500 1.5 0.8 0.8
"chain" 100 1000 1.2 0.8 1.6
"chain" 100 500 1 0.8 0.8
"chain" 100 250 1 0.575379955315065 0.8
"chain" 100 250 1.2 0.575379955315065 0.4
"chain" 200 250 1.5 0.451535156673875 0.4
"chain" 200 500 1.5 0.8 0.8
"chain" 200 125 1 0.4 0.4
"chain" 200 125 1.5 0.4 0.366596142166487
"chain" 200 250 1.2 0.4 0.8
"chain" 200 500 1 0.8 0.8
"chain" 200 500 1.2 0.8 0.8
"chain" 200 1000 1.5 0.8 0.8
"chain" 200 1000 1.2 0.8 0.8
"chain" 200 1000 1 0.8 0.8
"chain" 200 125 1.2 0.4 0.4
"chain" 200 250 1 0.451535156673875 0.4
"ER" 50 250 1.5 0.366596142166487 0.241646511928588
"ER" 50 500 1 0.451535156673875 0.206913808111479
"ER" 50 125 1 0.324755347837744 0.272779739058426
"ER" 50 500 1.2 0.451535156673875 0.21406661993597
"ER" 50 500 1.5 0.451535156673875 0.189634509536612
"ER" 50 1000 1.5 0.4 0.189634509536612
"ER" 50 250 1.2 0.413827616222958 0.272779739058426
"ER" 50 250 1 0.467144293818024 0.25
"ER" 50 125 1.5 0.467144293818024 0.241646511928588
"ER" 50 125 1.2 0.366596142166487 0.272779739058426
"ER" 50 1000 1.2 0.4 0.189634509536612
"ER" 50 1000 1 0.4 0.125
"ER" 100 125 1.5 0.263665089873036 0.254854997140627
"ER" 100 125 1.2 0.263665089873036 0.287689977657533
"ER" 100 250 1 0.254854997140627 0.4
"ER" 100 500 1.2 0.287689977657533 0.4
"ER" 100 500 1.5 0.287689977657533 0.4
"ER" 100 250 1.5 0.254854997140627 0.4
"ER" 100 1000 1.5 0.4 0.8
"ER" 100 125 1 0.263665089873036 0.287689977657533
"ER" 100 1000 1.2 0.4 0.8
"ER" 100 1000 1 0.4 0.8
"ER" 100 250 1.2 0.287689977657533 0.4
"ER" 100 500 1 0.4 0.4
"ER" 200 250 1 0.2 0.136389869529213
"ER" 200 500 1.5 0.2 0.112883789168469
"ER" 200 125 1 0.233572146909012 0.153962052766507
"ER" 200 1000 1.5 0.4 0.1
"ER" 200 1000 1.2 0.4 0.2
"ER" 200 125 1.2 0.206913808111479 0.153962052766507
"ER" 200 500 1.2 0.2 0.2
