"graph" "signal_ind" "n2" "alpha" "tuning_c1" "tuning_c2"
"chain" 1 250 1.2 0.428133239871939 0.287689977657533
"chain" 4 500 1.5 0.4 0.4
"chain" 2 250 1.2 0.413827616222958 0.287689977657533
"chain" 2 500 1.5 0.4 0.4
"chain" 3 500 1.5 0.4 0.4
"chain" 3 250 1.2 0.413827616222958 0.287689977657533
"chain" 4 250 1.2 0.413827616222958 0.287689977657533
"chain" 2 500 1 0.4 0.8
"chain" 1 250 1.5 0.379269019073225 0.287689977657533
"chain" 1 500 1 0.4 0.8
"chain" 4 500 1 0.4 0.8
"chain" 1 250 1 0.366596142166487 0.254854997140627
"chain" 1 500 1.2 0.4 0.4
"chain" 4 250 1 0.413827616222958 0.287689977657533
"chain" 2 250 1 0.366596142166487 0.254854997140627
"chain" 3 250 1 0.413827616222958 0.254854997140627
"chain" 1 500 1.5 0.413827616222958 0.4
"chain" 4 500 1.2 0.4 0.4
"chain" 2 500 1.2 0.4 0.4
"chain" 2 125 1.2 0.366596142166487 0.366596142166487
"chain" 3 125 1.2 0.413827616222958 0.366596142166487
"chain" 2 125 1 0.366596142166487 0.287689977657533
"chain" 4 125 1.2 0.413827616222958 0.413827616222958
"chain" 4 125 1 0.366596142166487 0.4
"chain" 1 125 1.5 0.428133239871939 0.366596142166487
"chain" 3 125 1 0.366596142166487 0.287689977657533
"chain" 1 125 1 0.366596142166487 0.287689977657533
"chain" 4 250 1.5 0.413827616222958 0.287689977657533
"chain" 3 250 1.5 0.413827616222958 0.287689977657533
"chain" 2 250 1.5 0.413827616222958 0.287689977657533
"chain" 2 125 1.5 0.413827616222958 0.324755347837744
"chain" 3 125 1.5 0.413827616222958 0.4
"chain" 4 125 1.5 0.413827616222958 0.4
"chain" 1 125 1.2 0.379269019073225 0.324755347837744
"chain" 3 500 1 0.4 0.8
"chain" 3 500 1.2 0.4 0.4
"chain" 5 500 1.5 0.4 0.4
"chain" 5 250 1.2 0.413827616222958 0.4
"chain" 5 500 1 0.4 0.8
"chain" 5 250 1 0.413827616222958 0.4
"chain" 5 500 1.2 0.4 0.4
"chain" 5 125 1.2 0.451535156673875 0.451535156673875
"chain" 5 125 1 0.4 0.4
"chain" 5 250 1.5 0.413827616222958 0.4
"chain" 5 125 1.5 0.4 0.4
"ER" 3 500 1 0.225767578336938 0.2
"ER" 1 500 1 0.225767578336938 0.2
"ER" 2 500 1 0.225767578336938 0.2
"ER" 4 500 1 0.225767578336938 0.2
"ER" 5 500 1 0.225767578336938 0.2
"ER" 5 250 1 0.254854997140627 0.2
"ER" 2 250 1 0.233572146909012 0.2
"ER" 1 250 1 0.233572146909012 0.2
"ER" 4 250 1 0.254854997140627 0.2
"ER" 3 250 1 0.233572146909012 0.2
"ER" 3 125 1 0.233572146909012 0.162377673918872
"ER" 5 125 1 0.263665089873036 0.183298071083244
"ER" 1 125 1 0.233572146909012 0.162377673918872
"ER" 4 125 1 0.263665089873036 0.162377673918872
"ER" 2 125 1 0.233572146909012 0.162377673918872
"ER" 4 125 1.2 0.233572146909012 0.206913808111479
"ER" 2 125 1.2 0.233572146909012 0.189634509536612
"ER" 5 125 1.2 0.233572146909012 0.206913808111479
"ER" 3 125 1.2 0.233572146909012 0.189634509536612
"ER" 2 500 1.2 0.225767578336938 0.2
"ER" 3 500 1.2 0.225767578336938 0.2
"ER" 4 500 1.2 0.225767578336938 0.2
"ER" 2 250 1.2 0.225767578336938 0.143844988828766
"ER" 5 500 1.2 0.225767578336938 0.2
"ER" 4 250 1.2 0.225767578336938 0.143844988828766
"ER" 5 250 1.2 0.225767578336938 0.162377673918872
"ER" 3 250 1.2 0.225767578336938 0.143844988828766
"ER" 1 125 1.2 0.233572146909012 0.183298071083244
"ER" 1 250 1.2 0.263665089873036 0.143844988828766
"ER" 1 500 1.2 0.225767578336938 0.2
"ER" 1 125 1.5 0.233572146909012 0.189634509536612
"ER" 5 250 1.5 0.233572146909012 0.2
"ER" 2 250 1.5 0.233572146909012 0.143844988828766
"ER" 3 250 1.5 0.233572146909012 0.143844988828766
"ER" 4 250 1.5 0.233572146909012 0.2
"ER" 1 250 1.5 0.233572146909012 0.143844988828766
"ER" 5 125 1.5 0.263665089873036 0.233572146909012
"ER" 3 125 1.5 0.241646511928588 0.206913808111479
"ER" 2 125 1.5 0.241646511928588 0.206913808111479
"ER" 4 125 1.5 0.272779739058426 0.206913808111479
"ER" 3 500 1.5 0.225767578336938 0.2
"ER" 1 500 1.5 0.225767578336938 0.2
"ER" 2 500 1.5 0.225767578336938 0.2
"ER" 5 500 1.5 0.225767578336938 0.2
"ER" 4 500 1.5 0.225767578336938 0.2
"ER" 6 125 1.2 0.254854997140627 0.233572146909012
"chain" 6 125 1 0.8 0.8
"chain" 6 125 1.5 0.8 0.8
"ER" 6 125 1 0.287689977657533 0.2
"ER" 6 125 1.5 0.287689977657533 0.254854997140627
"chain" 6 125 1.2 0.8 0.575379955315065
"ER" 7 125 1.2 0.8 0.366596142166487
"chain" 7 125 1 1.6 0.4
"chain" 7 125 1.5 0.8 0.4
"ER" 7 125 1 0.8 0.4
"ER" 7 125 1.5 0.8 0.287689977657533
"ER" 8 125 1.2 0.8 0.324755347837744
"chain" 7 125 1.2 0.8 0.451535156673875
"chain" 8 125 1.5 1.6 0.4
"chain" 8 125 1 1.6 0.4
"ER" 8 125 1.5 0.8 0.287689977657533
"ER" 8 125 1 0.8 0.4
"ER" 6 250 1.2 0.225767578336938 0.2
"chain" 8 125 1.2 0.8 0.4
"chain" 6 250 1 0.451535156673875 0.4
"chain" 6 250 1.5 0.509709994281253 0.4
"ER" 6 250 1.5 0.225767578336938 0.2
"ER" 6 250 1 0.254854997140627 0.2
"chain" 6 250 1.2 0.451535156673875 0.4
"ER" 7 250 1.2 0.4 0.2
"chain" 7 250 1 1.6 0.8
"ER" 7 250 1.5 0.4 0.2
"ER" 7 250 1 0.4 0.4
"chain" 7 250 1.5 0.8 0.4
"chain" 7 250 1.2 1.6 0.8
"ER" 8 250 1.2 1.6 0.4
"chain" 8 250 1 1.6 0.4
"ER" 8 250 1.5 0.8 0.4
"ER" 8 250 1 1.6 0.4
"chain" 8 250 1.2 1.6 0.4
"ER" 6 500 1.2 0.225767578336938 0.2
"chain" 8 250 1.5 0.8 0.4
"chain" 6 500 1 0.4 0.8
"ER" 6 500 1 0.254854997140627 0.2
"ER" 6 500 1.5 0.225767578336938 0.2
"chain" 6 500 1.5 0.451535156673875 0.4
"ER" 7 500 1.2 0.4 0.4
"chain" 6 500 1.2 0.4 0.4
"chain" 7 500 1 1.6 1.6
"ER" 7 500 1 0.4 0.4
"chain" 7 500 1.5 1.6 0.8
"ER" 8 500 1.2 0.8 0.4
"chain" 7 500 1.2 1.6 0.8
"ER" 7 500 1.5 0.254854997140627 0.2
"chain" 8 500 1 1.6 0.8
"ER" 8 500 1 0.8 0.4
"chain" 8 500 1.5 1.6 0.8
"chain" 8 500 1.2 1.6 0.8
"ER" 8 500 1.5 0.8 0.4
"star" 6 500 1 0.4 0.4
"star" 1 500 1 0.4 0.4
"star" 6 125 1.5 0.2 0.2
"star" 6 250 1 0.2 0.2
"star" 1 500 1.5 0.4 0.4
"star" 6 500 1.5 0.2 0.2
"star" 6 125 1 0.2 0.2
"star" 1 125 1 0.2 0.2
"star" 6 250 1.5 0.1 0.2
"star" 1 250 1 0.2 0.2
"star" 6 250 1.2 0.2 0.2
"star" 1 125 1.5 0.2 0.2
"star" 1 250 1.2 0.2 0.2
"star" 1 250 1.5 0.2 0.2
"star" 1 125 1.2 0.2 0.2
"star" 6 125 1.2 0.2 0.2
"star" 6 500 1.2 0.4 0.4
"star" 1 500 1.2 0.4 0.4
"ER" 6 125 1.2 0.254854997140627 0.233572146909012
"star" 2 500 1 0.4 0.4
"chain" 6 125 1 0.8 0.8
"chain" 6 125 1.5 0.8 0.8
"star" 2 500 1.5 0.4 0.4
"star" 2 125 1.5 0.2 0.2
"star" 2 250 1 0.2 0.2
"star" 2 125 1 0.2 0.2
"star" 2 250 1.5 0.2 0.2
"ER" 6 125 1 0.287689977657533 0.2
"star" 2 250 1.2 0.2 0.2
"star" 2 125 1.2 0.2 0.2
"ER" 6 125 1.5 0.287689977657533 0.254854997140627
"chain" 6 125 1.2 0.8 0.575379955315065
"star" 3 500 1 0.4 0.4
"star" 2 500 1.2 0.4 0.4
"star" 3 500 1.5 0.4 0.4
"star" 3 125 1.5 0.2 0.2
"star" 3 250 1 0.2 0.2
"star" 3 125 1 0.2 0.2
"star" 3 250 1.5 0.2 0.2
"star" 4 500 1 0.4 0.4
"star" 3 250 1.2 0.2 0.2
"star" 3 125 1.2 0.2 0.2
"star" 4 500 1.5 0.2 0.2
"star" 4 125 1.5 0.2 0.2
"star" 3 500 1.2 0.4 0.4
"star" 4 250 1 0.2 0.2
