"graph_type" "ms_sc" "n" "seed" "est_method" "FP" "FN" "TP" "TN" "F1"
"chain" 1 600 1 "Nlasso_JOE(AND)" 550 16 382 39052 0.574436090225564
"chain" 1 600 1 "Nlasso_JOE(OR)" 3334 10 388 36268 0.188349514563107
"chain" 1 600 1 "Nlasso(AND)" 1768 14 384 37834 0.301176470588235
"chain" 1 600 1 "Nlasso(OR)" 1812 8 390 37790 0.3
"chain" 1 600 1 "Glasso" 1380 2 396 38222 0.364305427782889
"chain" 1 600 2 "Nlasso_JOE(AND)" 40 22 376 39562 0.923832923832924
"chain" 1 600 2 "Nlasso_JOE(OR)" 298 14 384 39304 0.711111111111111
"chain" 1 600 2 "Nlasso(AND)" 272 4 394 39330 0.740601503759398
"chain" 1 600 2 "Nlasso(OR)" 732 4 394 38870 0.517060367454068
"chain" 1 600 2 "Glasso" 1316 2 396 38286 0.375355450236967
"chain" 1 600 3 "Nlasso_JOE(AND)" 588 12 386 39014 0.56268221574344
"chain" 1 600 3 "Nlasso_JOE(OR)" 3418 2 396 36184 0.188034188034188
"chain" 1 600 3 "Nlasso(AND)" 324 8 390 39278 0.701438848920863
"chain" 1 600 3 "Nlasso(OR)" 868 2 396 38734 0.476534296028881
"chain" 1 600 3 "Glasso" 1412 2 396 38190 0.359020852221215
"chain" 1 600 4 "Nlasso_JOE(AND)" 582 10 388 39020 0.567251461988304
"chain" 1 600 4 "Nlasso_JOE(OR)" 3180 8 390 36422 0.196572580645161
"chain" 1 600 4 "Nlasso(AND)" 318 8 390 39284 0.705244122965642
"chain" 1 600 4 "Nlasso(OR)" 842 6 392 38760 0.480392156862745
"chain" 1 600 4 "Glasso" 1406 4 394 38196 0.358507734303913
"chain" 1 600 5 "Nlasso_JOE(AND)" 34 42 356 39568 0.903553299492386
"chain" 1 600 5 "Nlasso_JOE(OR)" 386 22 376 39216 0.648275862068965
"chain" 1 600 5 "Nlasso(AND)" 280 16 382 39322 0.720754716981132
"chain" 1 600 5 "Nlasso(OR)" 846 10 388 38756 0.475490196078431
"chain" 1 600 5 "Glasso" 1352 6 392 38250 0.366013071895425
"chain" 1 600 6 "Nlasso_JOE(AND)" 466 16 382 39136 0.613162118780096
"chain" 1 600 6 "Nlasso_JOE(OR)" 3370 4 394 36232 0.189332051898126
"chain" 1 600 6 "Nlasso(AND)" 1708 4 394 37894 0.3152
"chain" 1 600 6 "Nlasso(OR)" 1850 4 394 37752 0.298258894776684
"chain" 1 600 6 "Glasso" 1290 2 396 38312 0.380038387715931
"chain" 1 600 7 "Nlasso_JOE(AND)" 530 20 378 39072 0.578866768759571
"chain" 1 600 7 "Nlasso_JOE(OR)" 3130 10 388 36472 0.198161389172625
"chain" 1 600 7 "Nlasso(AND)" 318 16 382 39284 0.695810564663024
"chain" 1 600 7 "Nlasso(OR)" 814 12 386 38788 0.483103879849812
"chain" 1 600 7 "Glasso" 1420 4 394 38182 0.35623869801085
"chain" 1 600 8 "Nlasso_JOE(AND)" 486 16 382 39116 0.60347551342812
"chain" 1 600 8 "Nlasso_JOE(OR)" 2988 14 384 36614 0.203713527851459
"chain" 1 600 8 "Nlasso(AND)" 298 16 382 39304 0.708719851576994
"chain" 1 600 8 "Nlasso(OR)" 822 12 386 38780 0.480697384806974
"chain" 1 600 8 "Glasso" 1280 8 390 38322 0.377176015473888
"chain" 1 600 9 "Nlasso_JOE(AND)" 512 16 382 39090 0.591331269349845
"chain" 1 600 9 "Nlasso_JOE(OR)" 3128 12 386 36474 0.197341513292434
"chain" 1 600 9 "Nlasso(AND)" 1674 10 388 37928 0.315447154471545
"chain" 1 600 9 "Nlasso(OR)" 1750 6 392 37852 0.308661417322835
"chain" 1 600 9 "Glasso" 1318 4 394 38284 0.37345971563981
"chain" 1 600 10 "Nlasso_JOE(AND)" 552 12 386 39050 0.577844311377245
"chain" 1 600 10 "Nlasso_JOE(OR)" 3162 8 390 36440 0.19746835443038
"chain" 1 600 10 "Nlasso(AND)" 1700 4 394 37902 0.316211878009631
"chain" 1 600 10 "Nlasso(OR)" 1722 4 394 37880 0.313444709626094
"chain" 1 600 10 "Glasso" 1302 4 394 38300 0.376313276026743
"chain" 1 600 11 "Nlasso_JOE(AND)" 496 18 380 39106 0.596546310832025
"chain" 1 600 11 "Nlasso_JOE(OR)" 3050 8 390 36552 0.20323084940073
"chain" 1 600 11 "Nlasso(AND)" 260 16 382 39342 0.734615384615385
"chain" 1 600 11 "Nlasso(OR)" 780 4 394 38822 0.501272264631043
"chain" 1 600 11 "Glasso" 1276 0 398 38326 0.384169884169884
"chain" 1 600 12 "Nlasso_JOE(AND)" 522 12 386 39080 0.591117917304747
"chain" 1 600 12 "Nlasso_JOE(OR)" 3400 4 394 36202 0.187977099236641
"chain" 1 600 12 "Nlasso(AND)" 358 6 392 39244 0.682926829268293
"chain" 1 600 12 "Nlasso(OR)" 826 4 394 38776 0.487021013597033
"chain" 1 600 12 "Glasso" 1338 2 396 38264 0.371482176360225
"chain" 1 600 13 "Nlasso_JOE(AND)" 478 10 388 39124 0.613924050632911
"chain" 1 600 13 "Nlasso_JOE(OR)" 3446 4 394 36156 0.185936762623879
"chain" 1 600 13 "Nlasso(AND)" 266 6 392 39336 0.742424242424242
"chain" 1 600 13 "Nlasso(OR)" 854 0 398 38748 0.482424242424242
"chain" 1 600 13 "Glasso" 1390 0 398 38212 0.364135407136322
"chain" 1 600 14 "Nlasso_JOE(AND)" 48 28 370 39554 0.906862745098039
"chain" 1 600 14 "Nlasso_JOE(OR)" 366 14 384 39236 0.668989547038328
"chain" 1 600 14 "Nlasso(AND)" 296 14 384 39306 0.712430426716141
"chain" 1 600 14 "Nlasso(OR)" 852 10 388 38750 0.473748473748474
"chain" 1 600 14 "Glasso" 1342 0 398 38260 0.372310570626754
"chain" 1 600 15 "Nlasso_JOE(AND)" 434 12 386 39168 0.633825944170772
"chain" 1 600 15 "Nlasso_JOE(OR)" 3090 4 394 36512 0.202988150437919
"chain" 1 600 15 "Nlasso(AND)" 260 12 386 39342 0.739463601532567
"chain" 1 600 15 "Nlasso(OR)" 772 4 394 38830 0.50383631713555
"chain" 1 600 15 "Glasso" 1254 2 396 38348 0.38671875
"chain" 1 600 16 "Nlasso_JOE(AND)" 510 2 396 39092 0.607361963190184
"chain" 1 600 16 "Nlasso_JOE(OR)" 3388 0 398 36214 0.190248565965583
"chain" 1 600 16 "Nlasso(AND)" 290 0 398 39312 0.732965009208103
"chain" 1 600 16 "Nlasso(OR)" 812 0 398 38790 0.495024875621891
"chain" 1 600 16 "Glasso" 1450 0 398 38152 0.354407836153161
"chain" 1 600 17 "Nlasso_JOE(AND)" 500 8 390 39102 0.605590062111801
"chain" 1 600 17 "Nlasso_JOE(OR)" 3104 6 392 36498 0.201335387776066
"chain" 1 600 17 "Nlasso(AND)" 256 4 394 39346 0.751908396946565
"chain" 1 600 17 "Nlasso(OR)" 802 4 394 38800 0.49435382685069
"chain" 1 600 17 "Glasso" 1256 2 396 38346 0.386341463414634
"chain" 1 600 18 "Nlasso_JOE(AND)" 532 18 380 39070 0.580152671755725
"chain" 1 600 18 "Nlasso_JOE(OR)" 3182 10 388 36420 0.195564516129032
"chain" 1 600 18 "Nlasso(AND)" 1642 8 390 37960 0.320987654320988
"chain" 1 600 18 "Nlasso(OR)" 1740 4 394 37862 0.311216429699842
"chain" 1 600 18 "Glasso" 1330 2 396 38272 0.372881355932203
"chain" 1 600 19 "Nlasso_JOE(AND)" 492 12 386 39110 0.605015673981191
"chain" 1 600 19 "Nlasso_JOE(OR)" 3300 6 392 36302 0.191687041564792
"chain" 1 600 19 "Nlasso(AND)" 316 10 388 39286 0.704174228675136
"chain" 1 600 19 "Nlasso(OR)" 790 6 392 38812 0.49620253164557
"chain" 1 600 19 "Glasso" 1276 4 394 38326 0.381044487427466
"chain" 1 600 20 "Nlasso_JOE(AND)" 552 12 386 39050 0.577844311377245
"chain" 1 600 20 "Nlasso_JOE(OR)" 3238 8 390 36364 0.193740685543964
"chain" 1 600 20 "Nlasso(AND)" 280 8 390 39322 0.730337078651685
"chain" 1 600 20 "Nlasso(OR)" 842 8 390 38760 0.478527607361963
"chain" 1 600 20 "Glasso" 1385 4 394 38217 0.361966008268259
"star" 1 600 1 "Nlasso_JOE(AND)" 30 106 274 39590 0.801169590643275
"star" 1 600 1 "Nlasso_JOE(OR)" 260 8 372 39360 0.735177865612648
"star" 1 600 1 "Nlasso(AND)" 510 106 274 39110 0.470790378006873
"star" 1 600 1 "Nlasso(OR)" 1088 38 342 38532 0.377900552486188
"star" 1 600 1 "Glasso" 812 4 376 38808 0.479591836734694
"star" 1 600 2 "Nlasso_JOE(AND)" 14 82 298 39606 0.861271676300578
"star" 1 600 2 "Nlasso_JOE(OR)" 194 12 368 39426 0.781316348195329
"star" 1 600 2 "Nlasso(AND)" 1992 76 304 37628 0.227204783258595
"star" 1 600 2 "Nlasso(OR)" 1990 30 350 37630 0.257352941176471
"star" 1 600 2 "Glasso" 748 2 378 38872 0.50199203187251
"star" 1 600 3 "Nlasso_JOE(AND)" 28 94 286 39592 0.824207492795389
"star" 1 600 3 "Nlasso_JOE(OR)" 238 6 374 39382 0.754032258064516
"star" 1 600 3 "Nlasso(AND)" 2058 78 302 37562 0.22043795620438
"star" 1 600 3 "Nlasso(OR)" 2246 36 344 37374 0.231649831649832
"star" 1 600 3 "Glasso" 838 0 380 38782 0.475594493116396
"star" 1 600 4 "Nlasso_JOE(AND)" 16 90 290 39604 0.845481049562682
"star" 1 600 4 "Nlasso_JOE(OR)" 192 10 370 39428 0.785562632696391
"star" 1 600 4 "Nlasso(AND)" 2048 76 304 37572 0.222547584187408
"star" 1 600 4 "Nlasso(OR)" 2190 32 348 37430 0.238519533927348
"star" 1 600 4 "Glasso" 716 4 376 38904 0.510869565217391
"star" 1 600 5 "Nlasso_JOE(AND)" 28 96 284 39592 0.820809248554913
"star" 1 600 5 "Nlasso_JOE(OR)" 244 16 364 39376 0.736842105263158
"star" 1 600 5 "Nlasso(AND)" 2004 74 306 37616 0.227509293680297
"star" 1 600 5 "Nlasso(OR)" 2130 36 344 37490 0.241065171688858
"star" 1 600 5 "Glasso" 830 2 378 38790 0.476070528967254
"star" 1 600 6 "Nlasso_JOE(AND)" 12 82 298 39608 0.863768115942029
"star" 1 600 6 "Nlasso_JOE(OR)" 206 6 374 39414 0.779166666666667
"star" 1 600 6 "Nlasso(AND)" 2034 68 312 37586 0.228906823184153
"star" 1 600 6 "Nlasso(OR)" 2130 20 360 37490 0.250871080139373
"star" 1 600 6 "Glasso" 796 0 380 38824 0.488431876606684
"star" 1 600 7 "Nlasso_JOE(AND)" 28 102 278 39592 0.810495626822157
"star" 1 600 7 "Nlasso_JOE(OR)" 224 30 350 39396 0.733752620545073
"star" 1 600 7 "Nlasso(AND)" 558 100 280 39062 0.459770114942529
"star" 1 600 7 "Nlasso(OR)" 1150 28 352 38470 0.374070138150903
"star" 1 600 7 "Glasso" 816 6 374 38804 0.476433121019108
"star" 1 600 8 "Nlasso_JOE(AND)" 28 94 286 39592 0.824207492795389
"star" 1 600 8 "Nlasso_JOE(OR)" 216 14 366 39404 0.760914760914761
"star" 1 600 8 "Nlasso(AND)" 1514 76 304 38106 0.276615104640582
"star" 1 600 8 "Nlasso(OR)" 2118 38 342 37502 0.240845070422535
"star" 1 600 8 "Glasso" 726 6 374 38894 0.505405405405405
"star" 1 600 9 "Nlasso_JOE(AND)" 32 100 280 39588 0.809248554913295
"star" 1 600 9 "Nlasso_JOE(OR)" 218 12 368 39402 0.761904761904762
"star" 1 600 9 "Nlasso(AND)" 640 106 274 38980 0.423493044822257
"star" 1 600 9 "Nlasso(OR)" 1174 34 346 38446 0.36421052631579
"star" 1 600 9 "Glasso" 786 2 378 38834 0.489637305699482
"star" 1 600 10 "Nlasso_JOE(AND)" 14 92 288 39606 0.844574780058651
"star" 1 600 10 "Nlasso_JOE(OR)" 214 6 374 39406 0.772727272727273
"star" 1 600 10 "Nlasso(AND)" 526 94 286 39094 0.47986577181208
"star" 1 600 10 "Nlasso(OR)" 1038 24 356 38582 0.401352874859076
